"name","builds","builds_from","source_description","website","website_identity","website_looked_for","entity_type","founders","founders_source","dpiit_status","dpiit_stage","contact_email","contact_page","domain_registered","web_first_capture","build_tags","domain_tags","public_programmes","programme_count","publishing_organisations","hiring_roles","team_page","site_versions_2y","parked_homepage","papers_found","city","state","rdi_sector","rdi_subsector","rdi_project","placed_from","classifier_reasoning","tier","public_traces","on_record","on_record_basis","started","in_database","signals","page"
"Kailash Cosmos Aerospace Systems Private Limited",,"","DPIIT recognised. Industry: Aeronautics Aerospace & Defence. Sector: Space Technology. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","","Sabarkantha","Gujarat","2","Space Technologies",,"register-label","Kailash Cosmos operates in space technology with focus on aeronautics and aerospace, which aligns with sub-sector 2.5's coverage of launch vehicles and propulsion systems.","C","1","2026-09-13","discovered",,"2026-09-13","1","https://rohitrao.in/upstream/c/kailash-cosmos-aerospace-systems"
"Ammsemi Pvt Ltd",,"","We are planning to develop and sell Ultra-low power EDGE AI processor. This will be based on our core technology, which incorporates novel analog in-memory compute techniques.","https://imlc.co.in/","discovered","yes","company","Sivakumar Elangovan, Nachiket Urdhwareshe","sine-iitb",,,"","","","","","","incubation at SINE, IIT Bombay","1","1","","","","","0",,,"2","Neuromorphic Computing & AI Hardware","Edge AI accelerators","description","Ammsemi's ultra-low power edge AI processor using analog in-memory compute techniques directly matches the edge AI accelerators project type under neuromorphic computing.","C","1","2026-01-01","cohort","2026","2026-09-12","1","https://rohitrao.in/upstream/c/ammsemi"
"Colmed Health Tech Pvt Ltd",,"","Smart Pegboard improves hand coordination and motor skills. Diabetic insoles protect feet and reduce pressure. Phototherapy devices treat skin conditions and promote healing. Custom orthoses support and correct cranial and limb alignment.","https://www.healthtechdesigns.in","associated","yes","company","Nikhilesh Tiwari, Prof Purba Joshi","sine-iitb",,,"","","","","hardware","health","incubation at SINE, IIT Bombay","1","1","","","","","0",,,"4","Medical Devices & Diagnostics","Smart prosthetics and rehabilitation technologies","description","Colmed's smart pegboard for motor skill improvement and custom orthoses for limb alignment are rehabilitation and assistive technologies; their diabetic insoles and phototherapy devices for healing also fit the medical devices category.","C","1","2026-01-01","cohort","2026","2026-09-12","1","https://rohitrao.in/upstream/c/colmed-health-tech"
"Ionbridge Tech Pvt Ltd",,"","Vosh develops energy-efficient thermal systems for commercial applications, starting with laundry - one of the most energy-intensive operations in hospitality, healthcare, and retail.",,,"yes","company","Vedant Mehra, Naman Mishra","sine-iitb",,,"","","","","","health; energy","incubation at SINE, IIT Bombay","1","1","","","","","0",,,"1","Energy-Efficient Cooling","High efficiency air conditioners","description","Vosh's energy-efficient thermal systems for commercial laundry reduce energy consumption in heating/cooling applications, aligning with the sub-sector's focus on high-efficiency cooling and thermal management solutions.","C","1","2026-01-01","cohort","2026","2026-09-12","1","https://rohitrao.in/upstream/c/ionbridge-tech"
"Exinovous Healthcare Technologies Pvt Ltd",,"","A portable cryogenic scalp cooling device that prevents chemotherapy-induced alopecia by delivering controlled cooling. It uses cryo-coolant boil-off and vapour extraction for uniform scalp cooling, reducing drug uptake in hair follicles and enhancing patient comfort.",,,"yes","company","Vedant Shirsekar, Jay Hegshetye , Sumeet Gupta","sine-iitb",,,"","","","","hardware; biological or chemical","health","incubation at SINE, IIT Bombay","1","1","","","","","0",,,"4","Medical Devices & Diagnostics","Devices for cancer care / radiotherapy, radiology, nuclear imaging, anesthesia, cardio-respiratory and renal care","description","The cryogenic scalp cooling device is a specialized medical device designed to manage chemotherapy-induced alopecia in cancer patients, directly supporting cancer care by reducing treatment side effects.","C","1","2026-01-01","cohort","2026","2026-09-12","1","https://rohitrao.in/upstream/c/exinovous-healthcare-technologies"
"InCartis Therapeutics Pvt Ltd",,"","Research and development of innovative biomaterial-based immunotherapeutic strategies enabling in situ generation of CAR immune cells for cancer, autoimmune disorders and other pathological conditions.",,,"yes","company","Prakriti Tayalia","sine-iitb",,,"","","","","biological or chemical","health","incubation at SINE, IIT Bombay","1","1","","","","","0",,,"4","Advanced Biomaterials & Regenerative Medicine","Multi-functional, very low-toxicity biomaterials","description","InCartis develops biomaterial-based platforms that enable in situ generation of CAR immune cells, combining advanced biomaterials with therapeutic functionality for regenerative and immunotherapeutic applications.","C","1","2026-01-01","cohort","2026","2026-09-12","1","https://rohitrao.in/upstream/c/incartis-therapeutics"
"Harmonix Research Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","0","Pune","Maharashtra","2","Advanced Materials",,"register-label","Harmonix Research is a nanotechnology startup; 2.6 covers nanomaterials and advanced materials research, which is the closest match to their industry focus within Sector 2.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/harmonix-research"
"Orhin Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Scaling.",,,"no","company",,"","recognised","Scaling","","","","","","","DPIIT recognition","1","1","","","","","","Chennai","Tamil Nadu","2","Advanced Materials",,"register-label","ORHIN is a nanotechnology startup recognized by DPIIT, which aligns with 2.6's focus on nanomaterials and their applications in addressing practical problems like water purification.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/orhin"
"Sumaitra Innovations Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","0","Bengaluru","Karnataka","2","Advanced Materials",,"register-label","SUMAITRA INNOVATIONS is a nanotechnology startup at prototype stage, and advanced materials including nanomaterials are explicitly listed under sub-sector 2.6, making this the best fit within the taxonomy provided.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/sumaitra-innovations"
"Anuna Nanotech Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: EarlyTraction.",,,"no","company",,"","recognised","EarlyTraction","","","","","","","DPIIT recognition","1","1","","","","","0","Bengaluru","Karnataka","2","Advanced Materials",,"register-label","Anuna Nanotech's nanotechnology focus aligns with the Advanced Materials sub-sector, specifically nanomaterials development which is explicitly listed as a core project type.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/anuna-nanotech"
"RMB Engineers",,"","Startup India profile, not DPIIT recognised. Industry: Nanotechnology. Stage: Prototype.",,,"no","unverified",,"","profile","Prototype","","","","","","","","0","0","","","","","","Navi Mumbai","Maharashtra","2","Advanced Materials",,"register-label","RMB Engineers is a nanotechnology startup, and subsector 2.6 on Advanced Materials explicitly covers nanomaterials as a primary focus area.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/rmb-engineers"
"Delta Nanoventions",,"","Startup India profile, not DPIIT recognised. Industry: Nanotechnology. Stage: Prototype.",,,"no","unverified",,"","profile","Prototype","","","","","","","","0","0","","","","","0","Pune","Maharashtra","2","Advanced Materials",,"register-label","Delta Nanoventions is a nanotechnology startup, and Advanced Materials (2.6) is the sub-sector that encompasses nanomaterials and their applications; the company's nanotechnology focus aligns with the nanomaterials project type listed under this sub-sector.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/delta-nanoventions"
"Altravia Global Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","0","Ahmedabad","Gujarat","2","Advanced Materials",,"register-label","ALTRAVIA GLOBAL is a nanotechnology startup, and subsector 2.6 on Advanced Materials explicitly covers nanomaterials as a core project type, making it the most direct match within Sector 2.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/altravia-global"
"Norththerm Technologies Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: EarlyTraction.",,,"no","company",,"","recognised","EarlyTraction","","","","","","","DPIIT recognition","1","1","","","","","0","Faridabad","Haryana","2","Advanced Materials",,"register-label","NORTHTHERM's nanotechnology focus aligns with the advanced materials sub-sector, particularly nanomaterials applications which are core to 2.6.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/norththerm-technologies"
"Dhanya Nanotech LLP",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","0","Dharwad","Karnataka","2","Advanced Materials",,"register-label","Dhanya Nanotech is a nanotechnology company at validation stage, and the taxonomy explicitly lists nanomaterials and adsorbates for water treatment applications (potable water generation, fluoride removal) as a core project type under Advanced Materials.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/dhanya-nanotech"
"Iowit Technologies Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","0","Gurugram","Haryana","2","Advanced Materials",,"register-label","IOWIT Technologies is a nanotechnology startup recognized by DPIIT, and the Advanced Materials sub-sector explicitly lists nanomaterials as a core focus area with applications in water purification.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/iowit-technologies"
"Amsh Endeavours LLP",,"","Startup India profile, not DPIIT recognised. Industry: Nanotechnology. Stage: Prototype.",,,"no","company",,"","profile","Prototype","","","","","","","","0","0","","","","","2","Bengaluru","Karnataka","2","Advanced Materials",,"register-label","AMSH Endeavours is a nanotechnology startup at prototype stage, and sub-sector 2.6 explicitly covers nanomaterials and adsorbates which are core nanotechnology applications.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/amsh-endeavours"
"Aakhash Advanced Materials",,"","Startup India profile, not DPIIT recognised. Industry: Nanotechnology. Stage: Prototype.",,,"no","unverified",,"","profile","Prototype","","","","","","","","0","0","","","","","0","Tiruchirappalli","Tamil Nadu","2","Advanced Materials",,"register-label","Aakhash Advanced Materials is a nanotechnology startup, and sub-sector 2.6 specifically covers nanomaterials and advanced materials development, with potable water generation and fluoride removal as explicitly listed applications.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/aakhash-advanced-materials"
"Nocomat Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Scaling.",,,"no","company",,"","recognised","Scaling","","","","","","","DPIIT recognition","1","1","","","","","0","Chennai","Tamil Nadu","2","Advanced Materials",,"register-label","NOCOMAT's nanotechnology focus aligns with the advanced materials sub-sector, and the specific mention of nanomaterials and composite materials for applications like water treatment matches the company's stage as a scaling startup in the nanotechnology domain.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/nocomat"
"Tatva Core",,"","DPIIT recognised. Industry: Nanotechnology. Stage: EarlyTraction.",,,"no","company",,"","recognised","EarlyTraction","","","","","","","DPIIT recognition","1","1","","","","","","Ahmedabad","Gujarat","2","Advanced Materials",,"register-label","TATVA CORE's nanotechnology focus aligns with the Advanced Materials sub-sector's explicit coverage of nanomaterials and their applications in water purification and contaminant removal.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/tatva-core"
"Denika Lab Tech Solutions LLP",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","0","Nanded","Maharashtra","2","Advanced Materials",,"register-label","The company operates in nanotechnology at validation stage, and the Advanced Materials sub-sector explicitly covers nanomaterials with applications in potable water generation and fluoride removal, matching the stated industry focus.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/denika-lab-tech-solutions"
"Glorious Enviro and Space Soft Technologies Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","0","East Godavari","Andhra Pradesh","2","Advanced Materials",,"register-label","The company's nanotechnology focus aligns with 2.6's emphasis on nanomaterials and adsorbates, particularly for water treatment applications like potable water generation and fluoride removal.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/glorious-enviro-and-space-soft-technologies"
"Valcories Industries Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","0","Gurugram","Haryana","2","Advanced Materials",,"register-label","Valcories Industries is a nanotechnology startup whose work in nanomaterials aligns with the Advanced Materials sub-sector's focus on nanomaterials and their applications.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/valcories-industries"
"Neevaram Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: EarlyTraction.",,,"no","company",,"","recognised","EarlyTraction","","","","","","","DPIIT recognition","1","1","","","","","0","Chennai","Tamil Nadu","2","Advanced Materials",,"register-label","NEEVARAM's nanotechnology work aligns with the nanomaterials and advanced materials focus of 2.6, particularly applications in water treatment and remediation.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/neevaram"
"Aursys Dynamics Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","0","Meerut","Uttar Pradesh","2","Advanced Materials",,"register-label","AURSYS DYNAMICS is a nanotechnology startup, and sub-sector 2.6 explicitly covers nanomaterials and their applications across health, infrastructure, and environmental domains.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/aursys-dynamics"
"Nanoharvestx Technologies Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","0","East Delhi","Delhi","2","Advanced Materials",,"register-label","NANOHARVESTX is a nanotechnology startup, and the company name suggests focus on nanomaterial applications; 2.6 Advanced Materials covers nanomaterials broadly, including water purification applications that are common in Indian nanotechnology ventures.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/nanoharvestx-technologies"
"Synova Advanced Surfaces Private Limited",,"","Startup India profile, not DPIIT recognised. Industry: Nanotechnology. Stage: Validation.",,,"no","company",,"","profile","Validation","","","","","","","","0","0","","","","","0","Surat","Gujarat","2","Advanced Materials",,"register-label","SYNOVA's nanotechnology work on advanced surfaces aligns with the nanomaterials and composite materials focus of sub-sector 2.6, which explicitly covers surface-related applications in water treatment and materials innovation.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/synova-advanced-surfaces"
"Nine Innovative Labs Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Prototype.",,,"no","company",,"","recognised","Prototype","","","","","","","DPIIT recognition","1","1","","","","","","Pune","Maharashtra","2","Advanced Materials",,"register-label","Nine Innovative Labs is a nanotechnology startup at prototype stage, and 2.6 Advanced Materials explicitly covers nanomaterials as a primary focus area.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/nine-innovative-labs"
"2D Matx Private Limited",,"","DPIIT recognised. Industry: Nanotechnology. Stage: Validation.",,,"no","company",,"","recognised","Validation","","","","","","","DPIIT recognition","1","1","","","","","0","Chennai","Tamil Nadu","2","Advanced Materials",,"register-label","2D MATX's nanotechnology focus on 2D materials directly aligns with the Advanced Materials sub-sector's explicit listing of 2D materials as a project type.","C","1","2026-01-01","cohort",,"2026-09-12","1","https://rohitrao.in/upstream/c/2d-matx"
